tname,how_many_times_is_patient_precent,precentage_recorded_of_total_patients
Solar8000/HR,6387,99.98434564809017
Solar8000/PLETH_HR,6386,99.96869129618034
Solar8000/PLETH_SPO2,6386,99.96869129618034
Primus/FIO2,6335,99.17031934877896
Solar8000/FIO2,6239,97.66750156543519
Solar8000/RR_CO2,6177,96.69693174702567
Primus/TV,6018,94.20788979336255
Primus/COMPLIANCE,6017,94.19223544145272
Primus/PEEP_MBAR,5999,93.91045710707576
Solar8000/VENT_TV,5980,93.61302442078897
Solar8000/VENT_PIP,5971,93.4721352536005
Solar8000/BT,5935,92.9085785848466
Solar8000/NIBP_MBP,5763,90.21603005635566
Solar8000/NIBP_DBP,5751,90.0281778334377
Solar8000/NIBP_SBP,5751,90.0281778334377
Solar8000/ART_MBP,3724,58.296806512210395
Solar8000/RR,1294,20.256731371321226
EV1000/CO,617,9.658735128365684
Vigileo/CO,323,5.056355666875391
Orchestra/PHEN_VOL,127,1.9881026925485286
Solar8000/VENT_MEAS_PEEP,98,1.5341264871634315
Orchestra/NEPI_VOL,88,1.3775829680651221
Vigilance/CO,65,1.0175328741390106
Vigilance/SVO2,63,0.9862241703193488
Vigilance/HR_AVG,53,0.8296806512210394
Orchestra/DOPA_VOL,33,0.5165936130244209
CardioQ/CO,29,0.4539762053850971
CardioQ/HR,29,0.4539762053850971
Orchestra/EPI_VOL,9,0.14088916718847838
Orchestra/MRN_VOL,5,0.07827175954915466
Orchestra/DOBU_VOL,3,0.046963055729492796
Orchestra/VASO_VOL,1,0.015654351909830933
